clipN,class,phraseN,phrase_txt
281,gn,1,your loan has been approved
282,gn,2,you've got the job
283,gn,3,the vendor has accepted your offer
284,gn,4,your tests have come back clear
285,gn,5,your application has been accepted
286,gn,6,your promotion has been agreed
287,gn,7,we won the match
288,gn,8,the operation went well
289,gn,9,your car passed its MOT
290,gn,10,your bid has been successful
291,ists,1,you haven't got the job
292,ists,2,we can't do anything for you
293,ists,3,we've sold out
294,ists,4,the operation didn't go well
295,ists,5,we can't extend you the loan
296,ists,6,we've found some serious structural problems
297,ists,7,your application was denied
298,ists,8,we're going to have to let you go
299,ists,9,a break in has been reported at your house
300,ists,10,someone has been accessing your account
